n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
439,0.00385,-,0.00321,0.16623,-,0.16668
440,0.00334,-,0.00349,0.16687,-,0.16740
441,0.00600,-,0.00351,0.16655,-,0.16661
442,0.00368,-,0.00332,0.11614,-,0.11653
443,0.00343,-,0.00315,0.11579,-,0.16637
444,0.00377,-,0.00328,0.11626,-,0.11621
445,0.00342,-,0.00297,0.11571,-,0.11636
446,0.00355,-,0.00322,0.11602,-,0.11609
447,0.00628,-,0.00365,0.16636,-,0.16686
448,0.00374,-,0.00337,0.11627,-,0.11664
449,0.00354,-,0.00330,0.11606,-,0.11680
450,0.00557,-,0.00309,0.11572,-,0.11645
451,0.00360,-,0.00356,0.16611,-,0.16734
452,0.00339,-,0.00316,0.11614,-,0.11620
453,0.00299,-,0.00272,0.16624,-,0.16639
454,0.00558,-,0.00381,0.16628,-,0.16643
455,0.00336,-,0.00313,0.16610,-,0.16682
456,0.00353,-,0.00320,0.11599,-,0.11636
457,0.00344,-,0.00319,0.11601,-,0.11627
458,0.00323,-,0.00275,0.11540,-,0.11649
459,0.00352,-,0.00318,0.11605,-,0.16681
460,0.00350,-,0.00344,0.11603,-,0.11650
461,0.00553,-,0.00312,0.11597,-,0.11660
462,0.00607,-,0.00345,0.11606,-,0.11650
463,0.00352,-,0.00313,0.11593,-,0.11639
464,0.00363,-,0.00297,0.16578,-,0.16674
465,0.00353,-,0.00322,0.11573,-,0.11555
466,0.00317,-,0.00351,0.11561,-,0.21699
467,0.00399,-,0.00363,0.16624,-,0.11529
468,0.00298,-,0.00352,0.11597,-,0.21706
469,0.00560,-,0.00336,0.16617,-,0.11565
470,0.00329,-,0.00278,0.11572,-,0.16618
471,0.00347,-,0.00350,0.16655,-,0.16677
472,0.00519,-,0.00312,0.16606,-,0.16648
473,0.00284,-,0.00238,0.16535,-,0.16641
474,0.00284,-,0.00265,0.16624,-,0.16631
475,0.00365,-,0.00297,0.11533,-,0.21619
476,0.00370,-,0.00287,0.11548,-,0.16588
477,0.00539,-,0.00354,0.11679,-,0.16580
478,0.00331,-,0.00349,0.16568,-,0.16711
479,0.00592,-,0.00434,0.11542,-,0.21632
480,0.00581,-,0.00308,0.16640,-,0.16639
481,0.00619,-,0.00337,0.16622,-,0.21755
482,0.00543,-,0.00273,0.11499,-,0.16700
483,0.00616,-,0.00341,0.16645,-,0.16681
484,0.00363,-,0.00339,0.11606,-,0.16619
485,0.00296,-,0.00237,0.11510,-,0.11597
486,0.00588,-,0.00309,0.11579,-,0.16620
487,0.00349,-,0.00381,0.11617,-,0.16631
488,0.00605,-,0.00332,0.16655,-,0.11633
